Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,3.680000,3.800000,3.650000,3.700000,3.700000,32807886
2020-01-03,3.670000,3.700000,3.640000,3.680000,3.680000,18215328
2020-01-06,3.600000,3.690000,3.600000,3.640000,3.640000,18085366
2020-01-07,3.640000,3.700000,3.630000,3.690000,3.690000,14506718
2020-01-08,3.680000,3.680000,3.580000,3.600000,3.600000,16030049
2020-01-09,3.630000,3.680000,3.620000,3.660000,3.660000,11704023
2020-01-10,3.660000,3.690000,3.630000,3.650000,3.650000,8307494
2020-01-13,3.640000,3.650000,3.590000,3.640000,3.640000,7591251
2020-01-14,3.650000,3.660000,3.620000,3.630000,3.630000,7802801
2020-01-15,3.610000,3.630000,3.550000,3.580000,3.580000,9208136
2020-01-16,3.570000,3.610000,3.540000,3.550000,3.550000,6480740
2020-01-17,3.570000,3.590000,3.540000,3.550000,3.550000,4921235
2020-01-20,3.550000,3.580000,3.540000,3.580000,3.580000,5267016
2020-01-21,3.570000,3.580000,3.490000,3.500000,3.500000,7714906
2020-01-22,3.500000,3.530000,3.440000,3.520000,3.520000,5681998
2020-01-23,3.510000,3.520000,3.360000,3.400000,3.400000,9084725
2020-02-03,3.050000,3.050000,3.050000,3.050000,3.050000,3278800
2020-02-04,2.830000,3.050000,2.830000,2.990000,2.990000,16222831
2020-02-05,2.990000,3.100000,2.990000,3.030000,3.030000,10195097
2020-02-06,3.050000,3.090000,3.010000,3.070000,3.070000,8747030
2020-02-07,3.060000,3.080000,3.020000,3.070000,3.070000,9217782
2020-02-10,3.060000,3.180000,3.030000,3.170000,3.170000,12177316
2020-02-11,3.170000,3.230000,3.150000,3.190000,3.190000,11908967
2020-02-12,3.220000,3.300000,3.190000,3.250000,3.250000,13014907
2020-02-13,3.240000,3.270000,3.190000,3.220000,3.220000,12425949
2020-02-14,3.200000,3.280000,3.180000,3.250000,3.250000,11017756
2020-02-17,3.240000,3.380000,3.230000,3.340000,3.340000,16769900
2020-02-18,3.310000,3.340000,3.290000,3.330000,3.330000,13071858
2020-02-19,3.330000,3.380000,3.290000,3.330000,3.330000,14979883
2020-02-20,3.330000,3.370000,3.300000,3.360000,3.360000,13489652
2020-02-21,3.370000,3.410000,3.350000,3.380000,3.380000,15093867
2020-02-24,3.380000,3.380000,3.320000,3.360000,3.360000,12135726
2020-02-25,3.300000,3.300000,3.160000,3.280000,3.280000,20949429
2020-02-26,3.230000,3.550000,3.210000,3.370000,3.370000,32643413
2020-02-27,3.420000,3.500000,3.370000,3.430000,3.430000,34149364
2020-02-28,3.300000,3.470000,3.260000,3.300000,3.300000,23980002
2020-03-02,3.310000,3.570000,3.310000,3.540000,3.540000,41680388
2020-03-03,3.650000,3.690000,3.470000,3.510000,3.510000,41628659
2020-03-04,3.470000,3.860000,3.440000,3.860000,3.860000,44923195
2020-03-05,4.250000,4.250000,3.900000,3.910000,3.910000,124514821
2020-03-06,3.780000,4.050000,3.750000,3.940000,3.940000,66507355
2020-03-09,3.800000,3.850000,3.640000,3.650000,3.650000,50171934
2020-03-10,3.580000,3.790000,3.520000,3.740000,3.740000,37110671
2020-03-11,3.720000,3.840000,3.650000,3.680000,3.680000,30384298
2020-03-12,3.620000,3.760000,3.560000,3.620000,3.620000,26191527
2020-03-13,3.450000,3.610000,3.360000,3.540000,3.540000,27859750
2020-03-16,3.560000,3.600000,3.400000,3.410000,3.410000,22540586
2020-03-17,3.430000,3.480000,3.270000,3.420000,3.420000,21770256
2020-03-18,3.450000,3.530000,3.340000,3.350000,3.350000,18286100
2020-03-19,3.310000,3.380000,3.280000,3.350000,3.350000,12296400
2020-03-20,3.380000,3.430000,3.360000,3.420000,3.420000,13918002
2020-03-23,3.330000,3.370000,3.260000,3.270000,3.270000,13578691
2020-03-24,3.320000,3.350000,3.260000,3.330000,3.330000,8741611
2020-03-25,3.390000,3.420000,3.340000,3.400000,3.400000,14226428
2020-03-26,3.340000,3.430000,3.340000,3.350000,3.350000,11880272
2020-03-27,3.380000,3.430000,3.280000,3.330000,3.330000,19597168
2020-03-30,3.280000,3.290000,3.220000,3.250000,3.250000,12862665
2020-03-31,3.280000,3.290000,3.170000,3.180000,3.180000,10711736
2020-04-01,3.190000,3.230000,3.140000,3.160000,3.160000,9474548
2020-04-02,3.130000,3.200000,3.100000,3.190000,3.190000,7054573
2020-04-03,3.200000,3.200000,3.130000,3.150000,3.150000,6087545
2020-04-07,3.210000,3.290000,3.180000,3.280000,3.280000,18850985
2020-04-08,3.270000,3.320000,3.220000,3.300000,3.300000,14307042
2020-04-09,3.320000,3.330000,3.270000,3.290000,3.290000,10654615
2020-04-10,3.290000,3.350000,3.250000,3.280000,3.280000,14365852
2020-04-13,3.390000,3.600000,3.370000,3.600000,3.600000,51911329
2020-04-14,3.690000,3.850000,3.620000,3.740000,3.740000,98659930
2020-04-15,3.660000,3.680000,3.500000,3.530000,3.530000,56993025
2020-04-16,3.500000,3.670000,3.470000,3.590000,3.590000,49832592
2020-04-17,3.540000,3.960000,3.510000,3.960000,3.960000,155863014
2020-04-20,3.990000,4.040000,3.820000,3.870000,3.870000,113378209
2020-04-21,3.840000,3.940000,3.690000,3.840000,3.840000,75676368
2020-04-22,3.760000,3.910000,3.740000,3.810000,3.810000,53622202
2020-04-23,3.800000,3.850000,3.710000,3.740000,3.740000,39920759
2020-04-24,3.740000,3.950000,3.700000,3.810000,3.810000,72239577
2020-04-27,3.780000,3.980000,3.620000,3.830000,3.830000,63426344
2020-04-28,3.740000,3.770000,3.450000,3.570000,3.570000,48934158
2020-04-29,3.560000,3.740000,3.510000,3.590000,3.590000,31973070
2020-04-30,3.610000,3.710000,3.560000,3.690000,3.690000,29821707
